	b	se	z	pvalue	ll	ul	df	crit	eform	
woman:1._at	-.05134757	 .02011536	-2.5526544	 .01069055	-.09077296	-.01192218	         .	  1.959964	         0	
woman:2._at	-.05100947	 .01992359	-2.5602543	 .01045956	-.09005899	-.01195994	         .	  1.959964	         0	
woman:3._at	-.05066862	 .01973056	-2.5680276	  .0102279	-.08933981	-.01199744	         .	  1.959964	         0	
woman:4._at	-.05032504	 .01953627	-2.5759801	 .00999564	-.08861543	-.01203466	         .	  1.959964	         0	
woman:5._at	-.04997872	 .01934073	 -2.584118	 .00976284	-.08788585	-.01207159	         .	  1.959964	         0	
woman:6._at	-.04962966	 .01914394	-2.5924477	 .00952957	-.08715109	-.01210823	         .	  1.959964	         0	
woman:7._at	-.04927785	 .01894591	-2.6009759	  .0092959	-.08641115	-.01214455	         .	  1.959964	         0	
woman:8._at	-.04892331	 .01874665	-2.6097095	 .00906191	-.08566606	-.01218055	         .	  1.959964	         0	
woman:9._at	-.04856601	 .01854616	-2.6186559	 .00882769	-.08491582	-.01221621	         .	  1.959964	         0	
woman:10._at	-.04820598	 .01834446	-2.6278226	 .00859333	-.08416045	 -.0122515	         .	  1.959964	         0	
woman:11._at	-.04784319	 .01814154	-2.6372175	 .00835892	-.08339996	-.01228642	         .	  1.959964	         0	
woman:12._at	-.04747766	 .01793743	-2.6468489	 .00812456	-.08263438	-.01232095	         .	  1.959964	         0	
woman:13._at	-.04710939	 .01773212	-2.6567254	 .00789037	-.08186371	-.01235506	         .	  1.959964	         0	
woman:14._at	-.04673836	 .01752564	 -2.666856	 .00765645	-.08108799	-.01238874	         .	  1.959964	         0	
woman:15._at	-.04636459	 .01731799	-2.6772502	 .00742292	-.08030723	-.01242195	         .	  1.959964	         0	
woman:16._at	-.04598807	 .01710918	-2.6879176	 .00718991	-.07952145	-.01245469	         .	  1.959964	         0	
woman:17._at	 -.0456088	 .01689923	-2.6988687	 .00695756	-.07873069	-.01248692	         .	  1.959964	         0	
woman:18._at	-.04522679	 .01668815	 -2.710114	 .00672601	-.07793496	-.01251861	         .	  1.959964	         0	
woman:19._at	-.04484202	 .01647595	-2.7216647	  .0064954	 -.0771343	-.01254975	         .	  1.959964	         0	
woman:20._at	-.04445451	 .01626266	-2.7335325	 .00626589	-.07632874	-.01258028	         .	  1.959964	         0	
woman:21._at	-.04406425	 .01604829	-2.7457296	 .00603765	-.07551831	-.01261019	         .	  1.959964	         0	
woman:22._at	-.04367125	 .01583285	-2.7582686	 .00581084	-.07470306	-.01263944	         .	  1.959964	         0	
woman:23._at	 -.0432755	 .01561637	-2.7711629	 .00558565	-.07388301	-.01266798	         .	  1.959964	         0	
woman:24._at	  -.042877	 .01539886	-2.7844262	 .00536225	-.07305821	-.01269578	         .	  1.959964	         0	
woman:25._at	-.04247576	 .01518036	 -2.798073	 .00514085	-.07222872	 -.0127228	         .	  1.959964	         0	
woman:26._at	-.04207177	 .01496088	-2.8121182	 .00492164	-.07139456	-.01274898	         .	  1.959964	         0	
woman:27._at	-.04166504	 .01474046	-2.8265775	 .00470484	-.07055581	-.01277428	         .	  1.959964	         0	
woman:28._at	-.04125557	 .01451911	 -2.841467	 .00449065	 -.0697125	-.01279864	         .	  1.959964	         0	
woman:29._at	-.04084336	 .01429687	-2.8568039	  .0042793	-.06886472	-.01282201	         .	  1.959964	         0	
woman:30._at	-.04042842	 .01407378	-2.8726054	 .00407102	-.06801252	-.01284431	         .	  1.959964	         0	
woman:31._at	-.04001073	 .01384986	-2.8888898	 .00386605	-.06715597	 -.0128655	         .	  1.959964	         0	
woman:32._at	-.03959031	 .01362516	-2.9056759	 .00366461	-.06629514	-.01288548	         .	  1.959964	         0	
woman:33._at	-.03916716	 .01339972	 -2.922983	 .00346695	-.06543013	-.01290419	         .	  1.959964	         0	
woman:34._at	-.03874128	 .01317358	 -2.940831	 .00327333	-.06456102	-.01292153	         .	  1.959964	         0	
woman:35._at	-.03831267	 .01294679	-2.9592405	 .00308398	-.06368791	-.01293742	         .	  1.959964	         0	
woman:36._at	-.03788133	  .0127194	-2.9782323	 .00289916	 -.0628109	-.01295176	         .	  1.959964	         0	
woman:37._at	-.03744727	 .01249147	-2.9978276	 .00271911	 -.0619301	-.01296444	         .	  1.959964	         0	
woman:38._at	-.03701049	 .01226306	 -3.018048	 .00254409	-.06104564	-.01297534	         .	  1.959964	         0	
woman:39._at	-.03657099	 .01203423	 -3.038915	 .00237432	-.06015764	-.01298434	         .	  1.959964	         0	
woman:40._at	-.03612878	 .01180505	-3.0604501	 .00221005	-.05926626	 -.0129913	         .	  1.959964	         0	
woman:41._at	-.03568385	 .01157562	-3.0826743	  .0020515	-.05837165	-.01299606	         .	  1.959964	         0	
woman:42._at	-.03523622	   .011346	-3.1056081	 .00189888	-.05747397	-.01299848	         .	  1.959964	         0	
woman:43._at	-.03478589	 .01111629	-3.1292707	 .00175241	-.05657342	-.01299835	         .	  1.959964	         0	
woman:44._at	-.03433285	  .0108866	-3.1536799	 .00161226	-.05567019	-.01299551	         .	  1.959964	         0	
woman:45._at	-.03387712	 .01065703	-3.1788513	  .0014786	-.05476452	-.01298972	         .	  1.959964	         0	
woman:46._at	-.03341869	 .01042771	-3.2047977	 .00135157	-.05385663	-.01298076	         .	  1.959964	         0	
woman:47._at	-.03295758	 .01019876	-3.2315278	  .0012313	-.05294679	-.01296838	         .	  1.959964	         0	
woman:48._at	-.03249378	 .00997034	-3.2590457	 .00111788	-.05203529	-.01295228	         .	  1.959964	         0	
woman:49._at	-.03202731	 .00974259	 -3.287349	 .00101135	-.05112244	-.01293217	         .	  1.959964	         0	
woman:50._at	-.03155816	 .00951571	-3.3164277	 .00091176	-.05020861	-.01290771	         .	  1.959964	         0	
woman:51._at	-.03108634	 .00928987	-3.3462615	 .00081909	-.04929415	-.01287853	         .	  1.959964	         0	
woman:52._at	-.03061186	  .0090653	-3.3768182	 .00073329	-.04837951	 -.0128442	         .	  1.959964	         0	
woman:53._at	-.03013472	 .00884222	-3.4080504	 .00065429	-.04746514	-.01280429	         .	  1.959964	         0	
woman:54._at	-.02965492	 .00862089	-3.4398919	 .00058195	-.04655155	-.01275829	         .	  1.959964	         0	
woman:55._at	-.02917248	  .0084016	-3.4722539	 .00051611	-.04563931	-.01270565	         .	  1.959964	         0	
woman:56._at	-.02868739	 .00818466	-3.5050204	 .00045657	-.04472903	-.01264576	         .	  1.959964	         0	
woman:57._at	-.02819968	 .00797042	-3.5380419	 .00040311	-.04382141	-.01257794	         .	  1.959964	         0	
woman:58._at	-.02770933	 .00775926	-3.5711293	 .00035545	 -.0429172	-.01250145	         .	  1.959964	         0	
woman:59._at	-.02721635	 .00755161	-3.6040464	  .0003133	-.04201724	-.01241547	         .	  1.959964	         0	
woman:60._at	-.02672076	 .00734793	-3.6365011	 .00027637	-.04112245	-.01231908	         .	  1.959964	         0	
woman:61._at	-.02622257	 .00714874	-3.6681364	 .00024432	-.04023385	-.01221129	         .	  1.959964	         0	
woman:62._at	-.02572176	 .00695461	-3.6985203	 .00021686	-.03935255	-.01209098	         .	  1.959964	         0	
woman:63._at	-.02521836	 .00676615	-3.7271357	 .00019367	-.03847978	-.01195695	         .	  1.959964	         0	
woman:64._at	-.02471238	 .00658405	-3.7533703	 .00017447	-.03761688	-.01180788	         .	  1.959964	         0	
woman:65._at	-.02420381	 .00640904	-3.7765085	 .00015904	-.03676531	-.01164231	         .	  1.959964	         0	
woman:66._at	-.02369267	 .00624193	-3.7957252	 .00014721	-.03592664	 -.0114587	         .	  1.959964	         0	
woman:67._at	-.02317896	 .00608358	-3.8100851	 .00013892	-.03510256	-.01125536	         .	  1.959964	         0	
woman:68._at	-.02266269	  .0059349	-3.8185477	 .00013424	-.03429488	-.01103051	         .	  1.959964	         0	
woman:69._at	-.02214388	 .00579685	-3.8199824	 .00013346	 -.0335055	-.01078225	         .	  1.959964	         0	
woman:70._at	-.02162252	 .00567045	-3.8131949	 .00013718	-.03273639	-.01050865	         .	  1.959964	         0	
woman:71._at	-.02109863	  .0055567	-3.7969676	 .00014648	-.03198957	-.01020769	         .	  1.959964	         0	
woman:72._at	-.02057221	 .00545665	-3.7701149	 .00016317	-.03126705	-.00987737	         .	  1.959964	         0	
woman:73._at	-.02004327	  .0053713	-3.7315521	  .0001903	-.03057082	-.00951573	         .	  1.959964	         0	
woman:74._at	-.01951183	 .00530159	-3.6803747	 .00023289	-.02990275	-.00912091	         .	  1.959964	         0	
woman:75._at	-.01897789	  .0052484	 -3.615941	 .00029926	-.02926455	-.00869122	         .	  1.959964	         0	
woman:76._at	-.01844145	 .00521247	-3.5379484	 .00040325	-.02865771	 -.0082252	         .	  1.959964	         0	
woman:77._at	-.01790254	 .00519442	-3.4464931	 .00056791	-.02808342	-.00772166	         .	  1.959964	         0	
woman:78._at	-.01736115	 .00519468	-3.3421013	 .00083147	-.02754254	-.00717976	         .	  1.959964	         0	
woman:79._at	-.01681731	  .0052135	-3.2257255	 .00125654	-.02703557	-.00659904	         .	  1.959964	         0	
woman:80._at	  -.016271	 .00525091	-3.0987027	  .0019437	-.02656259	-.00597941	         .	  1.959964	         0	
woman:81._at	-.01572226	 .00530677	-2.9626797	 .00304974	-.02612333	-.00532118	         .	  1.959964	         0	
woman:82._at	-.01517108	 .00538074	-2.8195133	 .00480965	-.02571714	-.00462501	         .	  1.959964	         0	
woman:83._at	-.01461747	 .00547233	-2.6711601	 .00755896	-.02534305	 -.0038919	         .	  1.959964	         0	
woman:84._at	-.01406145	  .0055809	-2.5195691	 .01174986	-.02499981	 -.0031231	         .	  1.959964	         0	
woman:85._at	-.01350303	  .0057057	-2.3665883	 .01795289	-.02468599	-.00232007	         .	  1.959964	         0	
woman:86._at	-.01294221	 .00584591	-2.2138931	 .02683613	-.02439998	-.00148445	         .	  1.959964	         0	
woman:87._at	-.01237901	 .00600067	-2.0629395	 .03911837	 -.0241401	-.00061792	         .	  1.959964	         0	
woman:88._at	-.01181344	 .00616909	-1.9149411	 .05550002	-.02390462	 .00027775	         .	  1.959964	         0	
woman:89._at	 -.0112455	 .00635028	 -1.770866	 .07658299	-.02369182	 .00120083	         .	  1.959964	         0	
woman:90._at	 -.0106752	 .00654338	-1.6314496	 .10279549	    -.0235	  .0021496	         .	  1.959964	         0	
woman:91._at	-.01010257	 .00674757	-1.4972163	 .13433698	-.02332755	 .00312242	         .	  1.959964	         0	
woman:92._at	 -.0095276	 .00696203	-1.3685078	 .17115318	-.02317293	 .00411774	         .	  1.959964	         0	
woman:93._at	 -.0089503	 .00718604	-1.2455124	 .21294347	-.02303468	 .00513408	         .	  1.959964	         0	
woman:94._at	 -.0083707	  .0074189	-1.1282938	 .25919585	-.02291147	 .00617008	         .	  1.959964	         0	
woman:95._at	-.00778879	 .00765996	 -1.016818	 .30924001	-.02280205	 .00722446	         .	  1.959964	         0	
